Name,Price,Old Price,Discount,Rating,Items Left
Men's Hoodie Set Men's Hip Hop Trend Printed Pullover Sweater Set,"KSh 1,198","KSh 2,150",44%,3.2 out of 5,
Fashion Men's Casual Leather Shoes,"KSh 1,290","KSh 2,200",41%,4.1 out of 5,
Digital Electronic Body Weight Scale With Temperature-180KG,KSh 860,"KSh 1,500",43%,4 out of 5,
Fashion Men Necklace Simple Vintage Necklace-Silver,KSh 51,KSh 109,53%,4.7 out of 5,
Fashion Modern Stylish Ladies Handbags Women Shoulder Bag Simple Tote Commuter Bags,KSh 799,"KSh 1,371",42%,4.2 out of 5,
Fashion 6 Pairs/Set Jewelry Women's Hollow Hoop Pearl Earrings Gold,KSh 337,KSh 600,44%,4.1 out of 5,
Curren New Brand Fashion Quartz Men Watch PU Leather W/ Calendar 3ATM Water-resistant Man Casual Wristwatch,KSh 900,"KSh 1,500",40%,1.7 out of 5,
Yixin 4 Pack T-shirt Manches Courtes Pour Homme - 4 Pieces - Noir,"KSh 1,462","KSh 2,088",30%,3.6 out of 5,
Men Bags Backpacks School Bags Laptop Bags Satchel Bookbags,KSh 991,"KSh 1,999",50%,4.1 out of 5,
LASA 4 TIER METAL TOWER 20 PAIR SHOE RACK STORAGE ORGANIZER UNIT,"KSh 1,650","KSh 2,400",31%,4.5 out of 5,
Fashion Mens Elastic Side Pocket Cargo Shorts Nicker Sweat  Pants,KSh 950,"KSh 1,200",21%,4.4 out of 5,
Alloy High Precision Kitchen Food Weighing Scale -10kg 1g,"KSh 1,860","KSh 3,475",46%,4.4 out of 5,
2.09 Smart Watch Full Touch Screen-Gold Steelbelt,"KSh 1,555","KSh 2,843",45%,5 out of 5,
8h Playtime Wireless Bluetooth Earphones Earbuds Long Endurance,"KSh 1,110","KSh 1,899",42%,4.4 out of 5,
Men Perfume & Shower Gel Set Fragrance,KSh 96,KSh 209,54%,3.7 out of 5,
Fashion 2024 Men's New Sports Fashion Shoes - Purple,"KSh 1,113 - KSh 1,590","KSh 2,182 - KSh 3,057",49%,4.1 out of 5,
12pcs Rattan Artificial Leaves Vines Leaves Grape Ivy,"KSh 1,420","KSh 2,090",32%,4.6 out of 5,
Fashion Men's Shoes Men's Basketball Men's Casual Shoes,"KSh 1,499 - KSh 1,549","KSh 1,790",16%,3.7 out of 5,
Fashion Mens Trench Bomber Coats Blazers Varsity Windbreak Lightweight Trendy Jackets  -  White,"KSh 1,580","KSh 2,297",31%,4 out of 5,
Manicure Nail Clippers Kit Pedicure Set Nail 12Pcs,KSh 487,KSh 810,40%,4.2 out of 5,
Fashion Men Shoes Loafers Casual Shoes Slip-On Shoes Business Shoes,KSh 799,"KSh 1,547",48%,4 out of 5,
Stereo TwsMacaroon Bluetooth Wireless EarphonesEarbuds Suitable For Apple Samsung Huawei OPPO-BLACK,KSh 336,KSh 699,52%,3.7 out of 5,
Yixin 3 PCS/Sets Tshirt T-shirt Men Wear Men Suit Men Coat Short Sleeve Two White And One Black,"KSh 1,299","KSh 1,599",19%,3.7 out of 5,
Electric Meridians Relaxing Foot Massager For Neck And Foot,KSh 590,KSh 800,26%,4.3 out of 5,
"15pcs Kitchen Vegetable Cutter, Salad, Vegetable, Potato, Chopper,slicer,grater","KSh 1,820","KSh 3,220",43%,4.4 out of 5,
G8 Bluetooth Headset Wireless Earbuds Earphone Generic,KSh 355,KSh 690,49%,3.5 out of 5,
Fashion 4in1 Canvas Backpack School Bag,"KSh 1,262","KSh 1,946",35%,3.3 out of 5,
Fashion Popular Personality New Simple Multi Layered Lotus Pendant Necklace Neckchain,KSh 379,KSh 399,5%,3.7 out of 5,
Wlisth Women's Stainless Steel Quartz Wristwatch,"KSh 1,063","KSh 2,057",48%,4 out of 5,
Multi-Functional Electric Blowdry Hair Straightener Dryers Curler Hot Comb Brush White,KSh 893,"KSh 1,811",51%,3.7 out of 5,
380ml USB Rechargeable & Multifunctional Juice Blender Cup,KSh 999,"KSh 1,775",44%,3.4 out of 5,
2 Set Of Couple Handcuffs S-ex T-oy Accessory - Purple,KSh 799,"KSh 1,349",41%,4.3 out of 5,
Men Perfume & Shower Gel Sets Fragrance,KSh 152,KSh 332,54%,4.5 out of 5,
Fashion Men's Oxfords Office Loafers Wedding Formal PU Leather Shoes Corporate Black,"KSh 1,840","KSh 2,757",33%,4 out of 5,
Fashion Men's Casual Fashion Shorts Two-piece Set,KSh 630,"KSh 1,200",48%,3.5 out of 5,
Fashion Men Short Sleeve Polo Shirt,KSh 790,"KSh 1,500",47%,4.3 out of 5,
Fashion Mens 2 In 1 Men's Short Sleeve Shorts Set Shirts  -  Red,KSh 850,"KSh 1,200",29%,4.3 out of 5,
Men's Business Leather Shoes Retro Crocodile Pattern Men's Shoes New Thick Bottom Men's Casual Sports Shoes Trendy Men's Shoes,"KSh 1,340","KSh 2,480",46%,4.1 out of 5,
"Fashion Men's 2 Piece Set - T-shirt + Trousers, Stylish Athleisure Suit",KSh 900,"KSh 1,750",49%,4 out of 5,
Portable Mini Cordless Car Vacuum Cleaner - Blue,"KSh 2,124","KSh 2,923",27%,4.6 out of 5,
Car Stereo Player FM Radio Dual USB LCD,"KSh 2,500","KSh 3,323",25%,4 out of 5,
64GB Phone 10 SD Memory Driving Recorder TF Card For XIAO MI TECNO  PHONE TABLET,KSh 615,"KSh 1,194",48%,4.6 out of 5,
MXQ PRO 4K Android 12 Smart TV Box,"KSh 2,950","KSh 4,774",38%,4 out of 5,
"Skin Beauty Products, Cosmetics, Jewelry, Drawer Storage Boxes 28*17*13","KSh 1,099","KSh 1,845",40%,4.4 out of 5,
Oraimo FreePods 3C ENC Calling Noise Cancellation Long Playtime True Wireless Earbuds,"KSh 3,550","KSh 4,389",19%,4.3 out of 5,
"7"" Touch Screen Car Player Audio Stereo FM Radio Bluetooth MP5 Player Support TF Multimedia Player DFDF","KSh 4,290","KSh 6,141",30%,5 out of 5,
"Fashion 2pcs Men's T-shirt+shorts, Men's Letter Printing Fashion Trend Sportswear Suit","KSh 1,050","KSh 1,553",32%,3.6 out of 5,
Fashion Men's Sweatshirt Casual Polos Sport Long Sleeve Shirt,KSh 680,"KSh 1,000",32%,3 out of 5,
Fashion Men's Comfortable Gentle Casual Sport Sneakers Air Max Shoes Silvery White,"KSh 1,430","KSh 2,737",48%,3.7 out of 5,
"Moisturizing Lip Balm, Ultra Nourishing Lip Care Moisturizer For Soft, Smooth, Supple Lips - 15g",KSh 60,KSh 128,53%,1.5 out of 5,
Women Handbags Crossbody Bags For Women Simple Shoulder Bags Girl Bags,KSh 890,"KSh 1,700",48%,4.2 out of 5,
Mythco Repair Tool Kit 122 In 1 Precision Screwdriver Set,"KSh 1,290","KSh 2,200",41%,4.4 out of 5,
Fashion Men's Casual Shoes - Blue,KSh 990,"KSh 1,800",45%,3.2 out of 5,
RichRipple Sucker Stand Black Portable Power Bank 10000mAh,"KSh 1,099","KSh 1,699",35%,3.4 out of 5,
3 Modes Led Table Lamp Generic Rechargeable Eye Caring Touch Stepless Dimming,KSh 765,"KSh 1,500",49%,4 out of 5,
Fashion Men Shoes Loafers Casual Shoes Slip-Ons Business Loafers Formal Shoes,KSh 540,"KSh 1,059",49%,3.2 out of 5,
13 In 1 Hardware Tools Repairing Set Kit Toolbox Case,"KSh 1,750","KSh 3,048",43%,4.2 out of 5,
"Fashion 1 Set Of Vintage Personalized Set, Smooth And Irregular Necklace",KSh 155,KSh 304,49%,4.5 out of 5,
Nail Art Kit Nail Brushes Set+ Dotting Pens+Nail Dryer,"KSh 1,840","KSh 2,399",23%,3.9 out of 5,
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,KSh 901,"KSh 1,599",44%,3.1 out of 5,
Fashion Wigs Hair Wigs Women Wigs,KSh 811,"KSh 1,466",45%,3.2 out of 5,
VIC Smart Watch Bluetooth Call Monitor Watch Sports Bracelet Smartwatch,"KSh 2,440","KSh 3,999",39%,4.3 out of 5,
Fashion Men Shoes Sneakers Sport Shoes Running Sneakers Casual Shoes,"KSh 1,179","KSh 2,299",49%,4.1 out of 5,
Fashion Pearl Butterfly Jewelry Bracelet Accessories Ring Earring Set,KSh 319,KSh 399,20%,3.2 out of 5,
Portable Electric Sewing Machines Household Sewing Machine For Beginners,"KSh 5,799","KSh 8,264",30%,4.1 out of 5,
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,KSh 899,"KSh 1,798",50%,3.5 out of 5,
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Hobo Bags Tote Bags,"KSh 1,199","KSh 2,199",45%,3.8 out of 5,
40L Unisex Waterproof Backpack Outdoor Camping,"KSh 1,760","KSh 3,206",45%,4 out of 5,
12 Litre Insulated Lunch Box Grey,KSh 980,"KSh 1,490",34%,4.8 out of 5,
"Fashionable Men's Sports Shoes, Breathable And Versatile Casual Shoes","KSh 1,130","KSh 2,300",51%,3.1 out of 5,
C Idea Adults Tablets10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Purple),"KSh 12,999","KSh 21,134",38%,4.3 out of 5,
Fashion 3+1 Vintage Personalized Set Smooth Irregular Bracelet,KSh 326,KSh 638,49%,4.8 out of 5,
Ramtons RM/582-Electric Pressure Cooker- Black (1YR WRTY),"KSh 9,499","KSh 11,900",20%,4.7 out of 5,
LASA Kitchen Timer Digital Clock Loud Alarm,KSh 361,KSh 722,50%,4.6 out of 5,
Portable Telescopes With A Field Of View Of 2000 Meters,KSh 960,"KSh 1,499",36%,4.5 out of 5,
"Fashion Men's Denim Jacket, Bomber Jacket, Hip Hop Denim Jacket - Black","KSh 2,149","KSh 2,553",16%,4.1 out of 5,
12 Litre Black Insulated Lunch Box,"KSh 1,350","KSh 1,990",32%,3.6 out of 5,
Fashion Men's Leather Shoe Formal Business Loafers - Black,"KSh 1,080","KSh 2,216",51%,3.7 out of 5,
Fashion Adult Sex Toy Dildo,"KSh 1,399","KSh 2,199",36%,4.1 out of 5,
Fashion Men's High Top Martin Boots Casual Tactical Combat Outdoor Hiking Shoes Black,"KSh 1,650","KSh 2,100",21%,3.7 out of 5,
"BS-36 Home Theater Bluetooth Speaker,Bluetooth 5.0 Subwoofer Soundbar-Black ​","KSh 6,990","KSh 10,200",31%,,
Fashion Men's Casual PU Leather Shoes Business Dress Shoes Black,"KSh 1,950","KSh 2,757",29%,4.2 out of 5,
Fashion Women Earring Set - 9 Pair,KSh 390,KSh 827,53%,4.1 out of 5,
Fashion 2Piece Set Men's Short Sleeve T-Shirt & Trousers,KSh 920,"KSh 1,500 - KSh 1,568",41%,3.3 out of 5,
"C Idea Adult 7 Inch Portable Tablet,Android 12 Tablet PC With SIM Card Slot  Green)","KSh 4,859","KSh 9,000",46%,3 out of 5,
Fashion Women Shoes Sneakers Sport Shoes Running Sneakers Casual Sneakers,"KSh 1,299","KSh 2,399",46%,4.1 out of 5,
4 In 1 Men Shaver Hair Clipper Trimmer Rechargeable Razor,KSh 901,"KSh 1,586",43%,3.5 out of 5,
Fashion Mens Leather Expansion Card Holder Anti-magnetic Wallet,KSh 530,KSh 860,38%,4.3 out of 5,
Fashion Leather Wallet Quality Wallets Card Holder For Men,KSh 480,KSh 860,44%,3.8 out of 5,
Fashion Adult Sex Toy Dildo,"KSh 1,399","KSh 2,199",36%,3.6 out of 5,
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,KSh 811,"KSh 1,798",55%,4.1 out of 5,
Fashion Male Formal Glossy Tassel Brogue Leather Shoes Loafers & Slip-ons Formal Black,"KSh 2,490 - KSh 2,590","KSh 3,200",22%,3.8 out of 5,
Men's Leather Belt Automatic Buckle Business Belts-Black,KSh 540,KSh 805,33%,4.4 out of 5,
Fashion 2024 Men's Sports Casual Vintage Turtleneck Polo Long Sleeve Office Shirts,KSh 414,KSh 811,49%,4.1 out of 5,
Fashion Mens Cotton Jacket Autumn And Winter Windbreak Blazers,"KSh 1,480","KSh 2,300",36%,3.5 out of 5,
Fashion Ultra Thin Stainless Steel Mesh Belt Quartz Business Watch,KSh 540,KSh 999,46%,3.9 out of 5,
"3520 Tripod SLR Camera Photography Live Video Stand,Mobile Phone Holder-Black","KSh 3,000","KSh 4,480",33%,4.8 out of 5,
Lenovo XT88 + Bag Bluetooth 5.3 Earbuds Headphone T W S Wireless,"KSh 1,599","KSh 2,821",43%,4.2 out of 5,
Fashion 2024 New Men's Outdoor Casual Trendy Sports Shoes - Black,"KSh 1,499","KSh 2,141 - KSh 2,882",48%,3.3 out of 5,
LASA USB C To USB C Cable 60W 3A Fast Charging Cable 1.2M,KSh 419,KSh 795,47%,4.6 out of 5,
Fashion Men's Casual Oxfords Pu Leather Loafers Brogues Shoes Wedding White,"KSh 1,280","KSh 1,600",20%,4 out of 5,
Fashion 2pcs Men's Short-sleeved T-shirt + Shorts Set - Black,"KSh 1,265","KSh 2,200",43%,3.5 out of 5,
Vintage Rechargeable Metal Hair Clipper Gold,KSh 460,"KSh 1,351",66%,3.7 out of 5,
Laptop Bag Case For Tablet PC Laptop Sleeve,"KSh 1,290","KSh 1,937 - KSh 2,337",45%,4.4 out of 5,
2.09 Smart Watch Full Touch Screen-Business Pink,"KSh 1,482","KSh 2,843",48%,2 out of 5,
Fashion Couple Heart Necklace-,KSh 145,KSh 284,49%,4.5 out of 5,
512MB/1GB/16GB/64GB Memory Card,KSh 80,,,3 out of 5,
Laptop Interface Expander Mini Usb3.0 Hub One Tow Four Type-c Docking Station,KSh 279,KSh 548,49%,4.5 out of 5,
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard (Red)","KSh 12,999","KSh 21,134",38%,4.2 out of 5,
Laptop Interface Expander Mini Usb3.0 Hub One Tow Four Type-c Docking Station,KSh 279,KSh 548,49%,4.5 out of 5,
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard (Red)","KSh 12,999","KSh 21,134",38%,4.2 out of 5,
Handheld Portable Sewing Machine Mini Electric Sewing Machine DIY Repair And Homemade Clothes,"KSh 1,235","KSh 1,885",34%,3.9 out of 5,
Hidden Surveillance Camera 4K WiFi Wireless Plug-in Card,KSh 790,KSh 888,11%,3.2 out of 5,
"4-Grid 5-Layer Shelf,Storage Rack,Shoe Cabinet,Clothes-Shoe Rack,DIY Bookshelf","KSh 1,650","KSh 2,299",28%,4.3 out of 5,
Charging Strong Earthquake AV Stick Vibration Massage,"KSh 1,099","KSh 1,899",42%,3.9 out of 5,
Fashion Men's Formal Wedding Corporate Leather Shoes Lace Up Patchwork Color Black,"KSh 1,720","KSh 2,470",30%,3.7 out of 5,
"S9 Ultra 2 Smartwatch, Talk, 2.1-inch Full Screen","KSh 1,221","KSh 2,600",53%,3.8 out of 5,
Fashion Men's Printed T-shirt Slim Fit Casual Short Sleeve,KSh 650,KSh 892,27%,4 out of 5,
"Three Holding Methods, Professional Shooting Mobile Phone Stand",KSh 680,KSh 971,30%,4.4 out of 5,
Fashion Mens 2 In 1 Sets Tracksuits Long Sleeve  Joggers Sweatshirt Sportswear,"KSh 1,560","KSh 2,261 - KSh 2,767",44%,4.4 out of 5,
Fashion Large Capacity Canvas Bag Alphabet Tote Handbag Women's Bag Shoulder Bag,KSh 799,KSh 999,20%,4.3 out of 5,
Fashion Tactical Gloves Half-Finger Sports Gloves,KSh 537,"KSh 1,139",53%,4.1 out of 5,
Fashion Women's Floral Sleeve Office Long Grown Dresses Casual Clothing Red,"KSh 1,100","KSh 1,500",27%,4 out of 5,
9D ANC True Noise Canceling Bluetooth Headphones,KSh 839,"KSh 1,800",53%,4.1 out of 5,
Men Bags Backpacks School Bags Laptop Bags Bookbags Satchel,KSh 991,"KSh 1,469",33%,3.1 out of 5,
Fashion Men's Oxfords Formal Flat Business Leather Shoes Black,"KSh 1,250","KSh 2,376",47%,3.6 out of 5,
"2 Din 7"" HD Car Stereo Radio Player Bluetooth Touch Screen + Rear Camera Kit","KSh 4,961","KSh 6,615",25%,4.7 out of 5,
4pcs/set Kojic Acid Soap Body Skin Lightening Soap,KSh 855,"KSh 1,500",43%,3.9 out of 5,
Mythco 100 LEDs Solar Outdoor Lights With Motion Sensor 2 Pack,KSh 890,"KSh 1,571",43%,3.8 out of 5,
Ramtons RM/579- Blender +Mill 1.5 Liters 2 Speed (1YR WRTY),"KSh 4,980",,,4.4 out of 5,
Fashion Women Black And White Matching Handbags Ladies Casual Shoulder Bag Commuter Bag,KSh 499,KSh 899,44%,3.2 out of 5,
Fashion Men's Comfortable Soft-Soled Running Shoes - Black,KSh 600,"KSh 1,100",45%,3.4 out of 5,
RichRipple Lighthouse Black Portable Power Bank 10000mAh,KSh 931,"KSh 1,699",45%,3.9 out of 5,
Summer Women's Bows Sparkly Slip On Pumps Casual Ladies Pointed Toe Comfortable Low Heels Elegant Party Shoes,KSh 320,KSh 620,48%,3.3 out of 5,
Adjustable Posture Corrector For Men And Women,KSh 491,KSh 890,45%,4 out of 5,
Fashion Men's Watch Tungsten Steel Color Men's Quartz Calendar Watch,KSh 739,"KSh 1,516",51%,3.8 out of 5,
Fashion Summer Men's Indoor Home Bathroom Non-slip Platform Sandals Slippers Black,KSh 470,KSh 882,47%,3.8 out of 5,
Fashion Lace-up Fashion Casual Soft Sole Comfortable Light Running Men's Shoes-Yellow,KSh 780,KSh 990,21%,3.1 out of 5,
Fashion Teenager Men's Sneakers Sports Running Shoes,"KSh 1,490 - KSh 1,590","KSh 2,500",40%,4 out of 5,
Fashion Men's Casual Synthetic Leather Shoes,KSh 730 - KSh 809,"KSh 1,399",48%,2.5 out of 5,
Fashion Love Stone Rhinestone Necklace Collar Chain Women Fashion Neckchain,KSh 321,KSh 385,17%,4.1 out of 5,
Fahion 3 PCS Men Bags Backpacks School Bags Laptop Bags Satchel Messenger Bags Bookbags,"KSh 1,199","KSh 1,999",40%,3.5 out of 5,
Fashion Womens Casual Thick Bottom Shoes Running Sneakers - Pink,KSh 575,"KSh 1,249",54%,4.7 out of 5,
Unisex Anti Blue Light Protective Computer Glasses,KSh 296,KSh 551,46%,4.2 out of 5,
USB Waterproof Bicycle Front And Rear Light –Night Riding Kit,KSh 891,"KSh 1,630",45%,4.3 out of 5,
2 Pcs Silicone Kitchen Sink Filter Strainer Bathroom Sink Stopper Bathroom,KSh 189,KSh 315,40%,4.5 out of 5,
Fashion Mens Thick High-quality Bomber Jackets Autumn Winter Trench Coats,"KSh 1,750","KSh 2,757",37%,3.8 out of 5,
Children's Remote Control Car - Racing Toys - 1:18 - Green,"KSh 1,450","KSh 2,400",40%,3.5 out of 5,
cloudoon Men's Summer Breathable Boxer Briefs - Refreshing And Moisture-Wicking,KSh 499,KSh 998,50%,4.3 out of 5,
Children's Remote Control Car - Racing Toys - 1:18 - Green,"KSh 1,450","KSh 2,400",40%,3.5 out of 5,
cloudoon Men's Summer Breathable Boxer Briefs - Refreshing And Moisture-Wicking,KSh 499,KSh 998,50%,4.3 out of 5,
Bread Toaster/Sandwich Maker,"KSh 1,200","KSh 2,353",49%,1 out of 5,
Fashion Men's Casual Shoes Loafers & Slip-Ons,KSh 446,KSh 947,53%,3.4 out of 5,
Fashion Classic Green Versatile Men's Casual Pants,"KSh 1,140","KSh 2,000",43%,1 out of 5,
"Electric Screwdriver, Multi-Function Set, Rechargeable Cordless Drill","KSh 1,710","KSh 2,814",39%,3.4 out of 5,
Fashion 5in1 Fashion Backpacks Set Unisex School Bag Casual Bag,"KSh 1,399","KSh 1,949",28%,4.5 out of 5,
Wireless Game Controller Joystick Bluetooth BT3.0,"KSh 1,890","KSh 3,061",38%,4.2 out of 5,
Fashion Men's Casual Printed Polo Vintage Long Sleeve T-Shirt - Black,KSh 880,"KSh 1,760",50%,4.5 out of 5,
VIC 115 In 1 Magnetic Precision Screwdriver Phone PC Repair Kit,KSh 970,"KSh 1,555",38%,4.7 out of 5,
SAWA Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds MiNi,KSh 344,KSh 620,45%,3.5 out of 5,
Fashion Sex Toys Pour Femmes Adultes,"KSh 1,499","KSh 2,199",32%,5 out of 5,
Fashion Mens Cotton Jacket Autumn And Winter Windbreak Blazers,"KSh 1,390","KSh 2,443",43%,3.8 out of 5,
Fashion Fashionable And Beautiful Diamond Watch And Bracelet Combination,KSh 580,"KSh 1,000",42%,4.7 out of 5,
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,KSh 811,"KSh 1,798",55%,3.5 out of 5,
Hifinit 5-in-1 Facial Skin Care Massager Face Scrubber Cleaner,KSh 549,KSh 950,42%,3.8 out of 5,
Mythco Portable Solar Lighting Bulb Rechargeable With Remote Control,KSh 992,"KSh 2,000",50%,4.5 out of 5,
3 Cameras Dash Cam HD 1080P Touch Screen Car DVR Video Recorder,"KSh 2,976","KSh 6,145",52%,4.1 out of 5,
Fashion Women Shoes Sneakers Sport Shoes Casual Shoes Running Sneakers,KSh 999,"KSh 1,799",44%,4.1 out of 5,
Fashion Metal Frame Mens Anti-blue Ray Computer Glasses,KSh 300,KSh 587,49%,3.7 out of 5,
Fashion Women's Casual Shoes Anti-Slip Waterproof Shoes,"KSh 1,299","KSh 1,999",35%,4.4 out of 5,
Fashion 1pcs Knitted Beaines Skullies Beanies Bonnet-Black,KSh 734,"KSh 1,224",40%,4 out of 5,
Fashion Women Bags Ladies Bags Handbags Purse Shoulder Bags Baguette Underarm Bags,KSh 630,"KSh 1,079",42%,4 out of 5,
"6"" Ring Light Mirror For Selfie YouTube Video Phone Holder Stand Shooting With 3 Light Modes",KSh 549,KSh 999,45%,4.3 out of 5,
"1,2,3 Seater Fabric Living Room Sofa Cover, Elastic High Chair Cover, All Seasons","KSh 1,990 - KSh 2,380","KSh 2,790 - KSh 3,450",31%,4 out of 5,
Two-in-one Automatic Retractable Rose Sucker,"KSh 2,999","KSh 3,169",5%,4.4 out of 5,
Fashion Couple Heart Necklace,KSh 239,KSh 399,40%,3.5 out of 5,
Oraimo Smart Clipper 2 Professional Hair Clipper,"KSh 3,470","KSh 4,500",23%,4.7 out of 5,
"Reinforced Simple Fabric Storage Cabinet, Dustproof Storage Cabinet - White","KSh 2,840","KSh 3,366",16%,3.6 out of 5,
Fashion Women's Thick Soled Sports Shoes,"KSh 1,299","KSh 1,899",32%,3.5 out of 5,
Geneva Three Eyes Steel Band Watch Large Plate Men's Sports Watch,KSh 439,KSh 788,44%,3.7 out of 5,
Fashion 3Pcs/Set Men's Underwear Ice Silk Boxer Panties,"KSh 1,420 - KSh 1,450","KSh 1,742",18%,4.4 out of 5,
4PCS Adult Swimming Cap And Goggles Set,KSh 870,"KSh 1,559",44%,4.4 out of 5,
Fashion Men Comfortable Gentle Casual Running Lace-up Sneakers Outdoor Sport Shoes Black,"KSh 1,680","KSh 2,847",41%,4.2 out of 5,
LASA USB 3.0 To Type-c OTG,KSh 433,KSh 895,52%,4.6 out of 5,
Fashion Wig Women's Fringe Big Wave Long Curly Hair Natural Synthetic Wigs For Ladies Chemical,KSh 599,"KSh 1,699",65%,4.3 out of 5,
Fashion Computer Glasses Anti Blue Light Glasses Blue Light Block Glasses,KSh 799,"KSh 1,428",44%,4.8 out of 5,
Fashion Flyweaving Men's Shoes-black,KSh 719,"KSh 1,294",44%,3.8 out of 5,
"Fashion Ladies Fashion Handbags, Women's Shoulder Bags, Messenger Bags - Blue&Pink","KSh 1,860","KSh 3,280",43%,4 out of 5,
Fashion Waterproof Anti-theft Men's Backpack For Laptop Bag,"KSh 1,630","KSh 1,882",13%,4.3 out of 5,
Fashion Mesh Sports Shoes For Men-grey,"KSh 1,059 - KSh 1,399","KSh 2,398",56%,3.9 out of 5,
Fashion Mens Trench Coats Blazers Windbreak Lightweight Jackets - Black,"KSh 1,200","KSh 2,200",45%,3.7 out of 5,
LASA Computer Monitor Laptop Notebook Riser Desk Stand,"KSh 1,876","KSh 3,400",45%,5 out of 5,
Fashion 2pcs T-Shirt + Shorts Suit - Black,"KSh 1,150","KSh 1,873",39%,3.5 out of 5,
Fashion Mens Vintage Graffiti Shirts Printed Button Down Casual T-Shirts Beach Polo,KSh 780,"KSh 1,258",38%,3.2 out of 5,
Fashion Pearl Peach Heart Necklace Jewelry Love Necklace Set,KSh 279,KSh 399,30%,4.7 out of 5,
VIC 20W Hot Melt Glue Gun With 20PCS Glue Sticks For Repair Tool,KSh 820,"KSh 1,439",43%,3.7 out of 5,
Fashion Men's Casual Shoes Waterproof Breathable Sneaker Board,"KSh 1,490","KSh 2,100",29%,5 out of 5,
Fashion Mens 2 In 1 Sets Tracksuits Long Sleeve Suit Joggers Sweatshirt Sportswear,"KSh 1,560","KSh 2,305",32%,4.3 out of 5,
Fashion 2 Piece Short -sleeved Shirt Mens Soprtswear Trousers Pants,"KSh 1,050","KSh 1,792",41%,3.6 out of 5,
Fashion Stylish Women Quartz Watches PU Leather Casual Wristwatch Luxury Business,KSh 329,KSh 692,52%,3.3 out of 5,
Fashion 4Pcs Men's Underwear Breathable Comfortable Stretch Cotton Boxer Briefs,KSh 640,"KSh 1,200",47%,3.7 out of 5,
"Men's 2 Piece Set - T-shirt + Trousers, Stylish Athleisure Suit",KSh 850,"KSh 1,550",45%,4.5 out of 5,
Fashion Splicing Ladies Handbag Tote Bag,KSh 999,"KSh 1,399",29%,4.1 out of 5,
Fashion 2 In 1 Tracksuits Mens Suits Track Suit Sportswear,"KSh 1,800","KSh 2,281 - KSh 3,494",48%,3.7 out of 5,
Men Shoes PU Leather Casual Shoes Comfortable Men Business Shoes Soft Men Flats Fashion Men Loafers Non-Slip,"KSh 1,250","KSh 2,100",40%,3.9 out of 5,
Fashion Women Sneakers Ladies Shoes Women Shoe,KSh 639,KSh 977,35%,3.5 out of 5,
Fashion Mens Sneaker Causal Breathable Shoes Light Weight Walking Shoes - Black,"KSh 1,150","KSh 2,137",46%,4.3 out of 5,
Ultra-intelligent Full Touch Screen Bluetooth Call Watch T800 Ultra,"KSh 1,280","KSh 2,440",48%,1 out of 5,
Fashion Underarm Shoulder Bag Women's Bag Stylish Atmosphere Underarm Bag Crossbody Bag,KSh 364,KSh 639,43%,,
Fashion Men's Casual High-top Shoes Fashion Martin Boots,"KSh 1,190","KSh 1,900",37%,4.1 out of 5,
VIC Phone Vlog Video Blog Kit Detachable Hold Tripod+ Fill Light+ Remote Control+ Microphone,"KSh 1,740","KSh 2,650",34%,2 out of 5,
"Double Row Coat Rack, Clothes, Shoes, Bags, Storage Rack, Drying Rack - Black","KSh 2,077","KSh 3,775",45%,4.4 out of 5,
LASA USB Micro B To Type C 3.1 To External Hard Drive Cable,KSh 385,KSh 695,45%,5 out of 5,
Fashion Men Glossy Tassel Brogue Leather Shoes Loafers & Slip-ons Formal Corporate Black,KSh 959,"KSh 1,880",49%,1.5 out of 5,
Fashion Mens Formal Shoes Breathable Slip On Leather Shoes Black,"KSh 1,390 - KSh 1,450","KSh 2,222 - KSh 2,629",45%,3.7 out of 5,
"Konka Drip Coffee Machine, Fashional Design, 0.3L Water Tank, White","KSh 3,980","KSh 4,939",19%,4.8 out of 5,
Lenovo LP40 Pro Bluetooth Earbuds Wireless Headset White,"KSh 1,099","KSh 2,047",46%,3.9 out of 5,
Mobile Live Video Recording Portable Microphone And LED Light Stand,"KSh 1,269","KSh 1,997",36%,5 out of 5,
Fashion Men's Flying Woven Sports Shoes Sneakers,KSh 699 - KSh 799,"KSh 1,599",56%,3.4 out of 5,
Fashion Summer Mens Loose Vintage Short Sleeve Hawaii Beach Shirts  - Rainbow,KSh 765,"KSh 1,317",42%,3.6 out of 5,
Men's Vulcanized Sneakers Men's Casual Shoes,"KSh 1,480","KSh 2,680",45%,4.3 out of 5,
